name_file	start_time	end_time	mean_F0(Hz)	mean_HNR(dB)	mean_intensity(dB)	mean_F1(Hz)	mean_F2(Hz)	mean_F3(Hz)	mean_F4(Hz)	Jitter	Shimmer	CoG	Kurtosis	Skweness
S2_Female_sentence_09.wav	0	0.005	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
S2_Female_sentence_09.wav	0.7300000000000005	0.7350000000000005	206.84016553865504	20.280042529945067	85.95200950676804	219.72356131064424	1516.2919523615992	2375.3469821880935	3580.4972340275767
S2_Female_sentence_09.wav	0.7350000000000005	0.7400000000000005	205.14029160575492	20.416957987840263	86.33887479509283	217.213342002154	1344.9253849754018	2389.760471586834	3538.9176111901456
S2_Female_sentence_09.wav	0.7400000000000005	0.7450000000000006	203.33845686930258	20.923972507903436	86.46652765301424	214.76224227774924	1298.9796247519664	2288.3518016684666	3536.915331207497
S2_Female_sentence_09.wav	0.7450000000000006	0.7500000000000006	201.53662213285023	21.831061507494702	86.4229119922626	214.66334829852758	1381.2979181720686	2364.486628773389	3516.9850452699948
S2_Female_sentence_09.wav	0.7500000000000006	0.7550000000000006	199.73478739639785	22.867878642956974	86.14307941989831	212.52677736590022	1447.976658030185	2459.356446017358	3760.79734766913
S2_Female_sentence_09.wav	0.7550000000000006	0.7600000000000006	197.9329526599455	21.478744196494663	85.60116873575357	209.9015000069406	1452.0681323018123	2528.2281843934816	4111.127336888128
S2_Female_sentence_09.wav	0.7600000000000006	0.7650000000000006	196.56319402547132	19.707697443326527	84.80731846909967	208.85949102409228	1394.954887179049	2559.158367112565	4361.866087687261
S2_Female_sentence_09.wav	0.7650000000000006	0.7700000000000006	197.93711863855555	19.78420367150399	84.05069218735237	209.28431400306016	1395.5469375023686	2588.0272257519077	4441.831791716948
S2_Female_sentence_09.wav	0.7700000000000006	0.7750000000000006	199.31104325163977	21.178104915625877	83.71002659471354	183.2720124157414	1371.3061829620835	2315.950923419287	3714.96753340241
S2_Female_sentence_09.wav	0.7750000000000006	0.7800000000000006	200.684967864724	17.689528430212373	83.8889042925621	170.5256435321612	1342.5067403555686	2167.1991244333162	3271.786730214571
S2_Female_sentence_09.wav	0.7800000000000006	0.7850000000000006	202.05889247780823	13.526879800809176	84.5264925922118	181.9225215717573	1380.294311828597	2118.0067198702764	3198.4726569908653
